"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 06 2008","2454685","239716801","0","< 8.15e-8","-","-","-","49.57","1e-8","0","bin1.log"
"Aug 09 2008","2454688","239976001","0.75","< 8.70e-8","-","-","-","46.81","1e-8","0","bin2.log"
"Aug 12 2008","2454691","240235201","5","3.53e-8","3.06e-8","-2.28","-","44.11","1e-8","0","bin3.log"
"Aug 15 2008","2454694","240494401","1.08","< 1.07e-7","-","-","-","41.48","1e-8","0","bin4.log"
"Aug 18 2008","2454697","240753601","11.39","6.96e-8","3.41e-8","-2.28","-","38.92","1e-8","0","bin5.log"
"Aug 21 2008","2454700","241012801","5.62","4.90e-8","3.21e-8","-2.28","-","36.45","1e-8","0","bin6.log"
"Aug 24 2008","2454703","241272001","0.18","< 7.04e-8","-","-","-","34.09","1e-8","0","bin7.log"
"Aug 27 2008","2454706","241531201","2.41","< 9.79e-8","-","-","-","31.85","1e-8","0","bin8.log"
"Aug 30 2008","2454709","241790401","4.51","3.55e-8","2.66e-8","-2.28","-","29.75","1e-8","0","bin9.log"
"Sep 02 2008","2454712","242049601","0","< 5.82e-8","-","-","-","27.84","1e-8","0","bin10.log"
"Sep 05 2008","2454715","242308801","0","< 4.07e-8","-","-","-","26.13","1e-8","0","bin11.log"
"Sep 08 2008","2454718","242568001","2.23","< 9.68e-8","-","-","-","24.68","1e-8","0","bin12.log"
"Sep 11 2008","2454721","242827201","14.78","7.64e-8","3.11e-8","-2.28","-","23.51","1e-8","0","bin13.log"
"Sep 14 2008","2454724","243086401","59.06","1.94e-7","4.30e-8","-2.28","-","22.67","1e-8","0","bin14.log"
"Sep 17 2008","2454727","243345601","29.68","1.31e-7","4.16e-8","-2.28","-","22.18","1e-8","0","bin15.log"
"Sep 20 2008","2454730","243604801","6.18","5.43e-8","3.34e-8","-2.28","-","22.08","1e-8","0","bin16.log"
"Sep 23 2008","2454733","243864001","6.92","4.73e-8","2.84e-8","-2.28","-","22.34","1e-8","0","bin17.log"
"Sep 26 2008","2454736","244123201","3.04","< 1.39e-7","-","-","-","22.96","1e-8","0","bin18.log"
"Sep 29 2008","2454739","244382401","0","< 7.57e-8","-","-","-","23.91","1e-8","0","bin19.log"
"Oct 02 2008","2454742","244641601","3.31","< 1.21e-7","-","-","-","25.13","1e-8","0","bin20.log"
"Oct 05 2008","2454745","244900801","12.08","9.75e-8","4.09e-8","-2.28","-","26.58","1e-8","0","bin21.log"
"Oct 08 2008","2454748","245160001","13.45","9.92e-8","4.25e-8","-2.28","-","28.23","1e-8","0","bin22.log"
"Oct 11 2008","2454751","245419201","0.78","< 9.98e-8","-","-","-","30.04","1e-8","0","bin23.log"
"Oct 14 2008","2454754","245678401","0.05","< 7.59e-8","-","-","-","31.97","1e-8","0","bin24.log"
"Oct 17 2008","2454757","245937601","4.31","5.48e-8","3.36e-8","-2.28","-","34.00","1e-8","0","bin25.log"
"Oct 20 2008","2454760","246196801","2.74","< 8.99e-8","-","-","-","36.10","1e-8","0","bin26.log"
"Oct 23 2008","2454763","246456001","0.24","< 6.33e-8","-","-","-","38.27","1e-8","0","bin27.log"
"Oct 26 2008","2454766","246715201","0.41","< 6.62e-8","-","-","-","40.48","1e-8","0","bin28.log"
"Oct 29 2008","2454769","246974401","0.06","< 4.79e-8","-","-","-","42.73","1e-8","0","bin29.log"
"Nov 01 2008","2454771","247233601","0.59","< 4.59e-8","-","-","-","45.00","1e-8","0","bin30.log"
"Nov 04 2008","2454774","247492801","0.11","< 8.39e-8","-","-","-","47.29","1e-8","0","bin31.log"
"Nov 07 2008","2454777","247752001","0","< 4.74e-8","-","-","-","49.60","1e-8","0","bin32.log"
"Nov 10 2008","2454780","248011201","6.07","4.14e-8","2.70e-8","-2.28","-","51.91","1e-8","0","bin33.log"
"Nov 13 2008","2454783","248270401","0.14","< 8.52e-8","-","-","-","54.24","1e-8","0","bin34.log"
"Nov 16 2008","2454786","248529601","0.94","< 9.08e-8","-","-","-","56.56","1e-8","0","bin35.log"
"Nov 19 2008","2454789","248788801","0.28","< 8.59e-8","-","-","-","58.89","1e-8","0","bin36.log"
"Nov 22 2008","2454792","249048001","3.29","< 1.33e-7","-","-","-","61.21","1e-8","0","bin37.log"
"Nov 25 2008","2454795","249307201","5.9","5.17e-8","3.24e-8","-2.28","-","63.54","1e-8","0","bin38.log"
"Nov 28 2008","2454798","249566401","11.79","1.29e-7","5.05e-8","-2.28","-","65.87","1e-8","0","bin39.log"
"Dec 01 2008","2454802","249825601","3.44","< 1.27e-7","-","-","-","68.19","1e-8","0","bin40.log"
"Dec 04 2008","2454805","250084801","1.73","< 1.18e-7","-","-","-","70.52","1e-8","0","bin41.log"
"Dec 07 2008","2454808","250344001","0.61","< 1.05e-7","-","-","-","72.84","1e-8","0","bin42.log"
"Dec 10 2008","2454811","250603201","0","< 6.24e-8","-","-","-","75.17","1e-8","0","bin43.log"
"Dec 13 2008","2454814","250862401","8.24","6.47e-8","3.17e-8","-2.28","-","77.51","1e-8","0","bin44.log"
"Dec 16 2008","2454817","251121601","6.68","5.76e-8","3.05e-8","-2.28","-","79.85","1e-8","0","bin45.log"
"Dec 19 2008","2454820","251380801","0","< 7.45e-8","-","-","-","82.20","1e-8","0","bin46.log"
"Dec 22 2008","2454823","251640001","0","< 5.98e-8","-","-","-","84.56","1e-8","0","bin47.log"
"Dec 25 2008","2454826","251899201","0","< 5.61e-8","-","-","-","86.93","1e-8","0","bin48.log"
"Dec 28 2008","2454829","252158401","2.18","< 8.58e-8","-","-","-","89.32","1e-8","0","bin49.log"
"Dec 31 2008","2454832","252417601","0","< 5.15e-8","-","-","-","91.72","1e-8","0","bin50.log"
"Jan 03 2009","2454834","252676801","4.17","5.00e-8","3.13e-8","-2.28","-","94.14","1e-8","0","bin51.log"
"Jan 06 2009","2454837","252936001","3.29","< 1.29e-7","-","-","-","96.58","1e-8","0","bin52.log"
"Jan 09 2009","2454840","253195201","0.59","< 1.04e-7","-","-","-","99.03","1e-8","0","bin53.log"
"Jan 12 2009","2454843","253454401","0","< 5.25e-8","-","-","-","101.51","1e-8","0","bin54.log"
"Jan 15 2009","2454846","253713601","4.53","5.77e-8","3.70e-8","-2.28","-","104.00","1e-8","0","bin55.log"
"Jan 18 2009","2454849","253972801","3.87","< 9.55e-8","-","-","-","106.51","1e-8","0","bin56.log"
"Jan 21 2009","2454852","254232001","0","< 6.17e-8","-","-","-","109.05","1e-8","0","bin57.log"
"Jan 24 2009","2454855","254491201","0","< 4.51e-8","-","-","-","111.60","1e-8","0","bin58.log"
"Jan 27 2009","2454858","254750401","0.35","< 6.20e-8","-","-","-","114.17","1e-8","0","bin59.log"
"Jan 30 2009","2454861","255009601","0","< 6.41e-8","-","-","-","116.76","1e-8","0","bin60.log"
"Feb 02 2009","2454864","255268801","4.99","5.25e-8","3.65e-8","-2.28","-","119.36","1e-8","0","bin61.log"
"Feb 05 2009","2454867","255528001","3.1","< 9.78e-8","-","-","-","121.97","1e-8","0","bin62.log"
"Feb 08 2009","2454870","255787201","0","< 6.03e-8","-","-","-","124.60","1e-8","0","bin63.log"
"Feb 11 2009","2454873","256046401","5.06","4.33e-8","2.75e-8","-2.28","-","127.23","1e-8","0","bin64.log"
"Feb 14 2009","2454876","256305601","19.2","1.10e-7","3.85e-8","-2.28","-","129.87","1e-8","0","bin65.log"
"Feb 17 2009","2454879","256564801","8.49","4.50e-8","2.51e-8","-2.28","-","132.50","1e-8","0","bin66.log"
"Feb 20 2009","2454882","256824001","9.52","6.68e-8","3.09e-8","-2.28","-","135.14","1e-8","0","bin67.log"
"Feb 23 2009","2454885","257083201","22.01","1.16e-7","3.84e-8","-2.28","-","137.76","1e-8","0","bin68.log"
"Feb 26 2009","2454888","257342401","7.73","8.62e-8","4.02e-8","-2.28","-","140.37","1e-8","0","bin69.log"
"Mar 01 2009","2454893","257601601","1.38","< 9.53e-8","-","-","-","142.95","1e-8","0","bin70.log"
"Mar 04 2009","2454896","257860801","4.66","3.80e-8","2.62e-8","-2.28","-","145.51","1e-8","0","bin71.log"
"Mar 07 2009","2454899","258120001","4.83","8.55e-8","4.79e-8","-2.28","-","148.01","1e-8","0","bin72.log"
"Mar 10 2009","2454902","258379201","3.49","< 1.26e-7","-","-","-","150.45","1e-8","0","bin73.log"
"Mar 16 2009","2454908","258897601","2.7","< 1.86e-7","-","-","-","155.04","1e-8","0","bin75.log"
"Mar 19 2009","2454911","259156801","2.16","< 1.16e-7","-","-","-","157.13","1e-8","0","bin76.log"
"Mar 22 2009","2454914","259416001","23.19","1.08e-7","3.92e-8","-2.28","-","159.01","1e-8","0","bin77.log"
"Mar 25 2009","2454917","259675201","3.46","< 9.16e-8","-","-","-","160.61","1e-8","0","bin78.log"
"Mar 28 2009","2454920","259934401","11.79","5.75e-8","2.92e-8","-2.28","-","161.87","1e-8","0","bin79.log"
"Mar 31 2009","2454923","260193601","1","< 7.56e-8","-","-","-","162.69","1e-8","0","bin80.log"
"Apr 03 2009","2454926","260452801","0.97","< 7.06e-8","-","-","-","163.01","1e-8","0","bin81.log"
"Apr 06 2009","2454929","260712001","7.9","5.76e-8","3.03e-8","-2.28","-","162.80","1e-8","0","bin82.log"
"Apr 09 2009","2454932","260971201","0.52","< 9.20e-8","-","-","-","162.06","1e-8","0","bin83.log"
"Apr 12 2009","2454935","261230401","0","< 4.83e-8","-","-","-","160.86","1e-8","0","bin84.log"
"Apr 15 2009","2454938","261489601","73.58","2.48e-7","4.90e-8","-2.28","-","159.28","1e-8","0","bin85.log"
"Apr 18 2009","2454941","261748801","149.54","3.72e-7","5.60e-8","-2.28","-","157.37","1e-8","0","bin86.log"
"Apr 21 2009","2454944","262008001","3.73","< 1.06e-7","-","-","-","155.23","1e-8","0","bin87.log"
"Apr 24 2009","2454947","262267201","44.02","1.88e-7","4.70e-8","-2.28","-","152.90","1e-8","0","bin88.log"
"Apr 27 2009","2454950","262526401","30.37","1.19e-7","4.17e-8","-2.28","-","150.42","1e-8","0","bin89.log"
"Apr 30 2009","2454953","262785601","10.84","7.11e-8","3.72e-8","-2.28","-","147.82","1e-8","0","bin90.log"
"May 03 2009","2454956","263044801","31.1","2.20e-7","6.40e-8","-2.28","-","145.13","1e-8","0","bin91.log"
"May 06 2009","2454959","263304001","12.31","1.36e-7","5.56e-8","-2.28","-","142.37","1e-8","0","bin92.log"
"May 09 2009","2454962","263563201","4.43","3.41e-8","2.97e-8","-2.28","-","139.54","1e-8","0","bin93.log"
"May 12 2009","2454965","263822401","7.81","7.53e-8","3.84e-8","-2.28","-","136.67","1e-8","0","bin94.log"
"May 15 2009","2454968","264081601","20.18","1.28e-7","4.38e-8","-2.28","-","133.75","1e-8","0","bin95.log"
"May 18 2009","2454971","264340801","19.04","1.31e-7","4.37e-8","-2.28","-","130.79","1e-8","0","bin96.log"
"May 21 2009","2454974","264600001","57.39","2.44e-7","4.90e-8","-2.28","-","127.81","1e-8","0","bin97.log"
"May 24 2009","2454977","264859201","48.99","1.78e-7","4.30e-8","-2.28","-","124.80","1e-8","0","bin98.log"
