"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454699","240883201","23.53","2.85e-8","9.10e-9","-2.28","-","37.67","1e-8","0","bin1.log"
"Sep 19 2008","2454729","243475201","93.33","6.66e-8","1.07e-8","-2.28","-","22.08","1e-8","0","bin2.log"
"Oct 19 2008","2454759","246067201","19.05","2.76e-8","8.20e-9","-2.28","-","35.04","1e-8","0","bin3.log"
"Nov 18 2008","2454788","248659201","19.15","3.28e-8","9.80e-9","-2.28","-","57.72","1e-8","0","bin4.log"
"Dec 18 2008","2454819","251251201","8.4","2.05e-8","8.50e-9","-2.28","-","81.03","1e-8","0","bin5.log"
"Jan 17 2009","2454847","253843201","5.14","1.46e-8","7.90e-9","-2.28","-","105.26","1e-8","0","bin6.log"
"Feb 16 2009","2454877","256435201","67.28","5.69e-8","1.00e-8","-2.28","-","131.18","1e-8","0","bin7.log"
"Mar 18 2009","2454909","259027201","50.38","4.90e-8","1.10e-8","-2.28","-","156.11","1e-8","0","bin8.log"
"Apr 17 2009","2454939","261619201","233.23","1.15e-7","1.20e-8","-2.28","-","158.36","1e-8","0","bin9.log"
"May 17 2009","2454969","264211201","227.61","1.35e-7","1.40e-8","-2.28","-","132.28","1e-8","0","bin10.log"
"Jun 16 2009","2454998","266803201","245.03","1.32e-7","1.40e-8","-2.28","-","101.67","1e-8","0","bin11.log"
"Jul 16 2009","2455029","269395201","390.48","1.78e-7","1.50e-8","-2.28","-","70.75","1e-8","0","bin12.log"
"Aug 15 2009","2455058","271987201","245.45","1.41e-7","1.50e-8","-2.28","-","42.12","1e-8","0","bin13.log"
"Sep 14 2009","2455088","274579201","516.97","2.93e-7","2.10e-8","-2.28","-","22.84","1e-8","0","bin14.log"
"Oct 14 2009","2455118","277171201","3739.82","9.28e-7","3.00e-8","-2.28","-","31.48","1e-8","0","bin15.log"
"Nov 13 2009","2455148","279763201","1165.48","4.69e-7","2.40e-8","-2.28","-","53.66","1e-8","0","bin16.log"
"Dec 13 2009","2455178","282355201","3125.1","8.68e-7","3.00e-8","-2.28","-","76.93","1e-8","0","bin17.log"
"Jan 12 2010","2455207","284947201","1529.66","5.54e-7","2.50e-8","-2.28","-","100.89","1e-8","0","bin18.log"
"Feb 11 2010","2455237","287539201","4684.83","1.15e-6","3.00e-8","-2.28","-","126.58","1e-8","0","bin19.log"
"Mar 13 2010","2455269","290131201","1657.71","5.58e-7","2.50e-8","-2.28","-","152.23","1e-8","0","bin20.log"
"Apr 12 2010","2455299","292723201","7236.85","1.63e-6","4.00e-8","-2.28","-","161.20","1e-8","0","bin21.log"
"May 12 2010","2455329","295315201","17283.11","2.81e-6","5.00e-8","-2.28","-","137.38","1e-8","0","bin22.log"
"Jun 11 2010","2455359","297907201","17869.76","3.06e-6","5.00e-8","-2.28","-","107.11","1e-8","0","bin23.log"
"Jul 11 2010","2455389","300499201","11952.94","2.23e-6","4.00e-8","-2.28","-","76.07","1e-8","0","bin24.log"
"Aug 10 2010","2455419","303091201","2559.54","8.12e-7","2.90e-8","-2.28","-","46.79","1e-8","0","bin25.log"
"Sep 09 2010","2455448","305683201","3039.13","9.16e-7","3.10e-8","-2.28","-","24.67","1e-8","0","bin26.log"
"Oct 09 2010","2455478","308275201","3929.97","1.17e-6","4.00e-8","-2.28","-","28.24","1e-8","0","bin27.log"
"Nov 08 2010","2455508","310867201","1944.13","6.80e-7","2.80e-8","-2.28","-","49.61","1e-8","0","bin28.log"
"Dec 08 2010","2455538","313459201","3435.43","9.53e-7","3.10e-8","-2.28","-","72.86","1e-8","0","bin29.log"
"Jan 07 2011","2455568","316051201","1766.85","6.44e-7","2.80e-8","-2.28","-","96.59","1e-8","0","bin30.log"
"Feb 06 2011","2455597","318643201","1570.8","5.24e-7","2.40e-8","-2.28","-","121.99","1e-8","0","bin31.log"
"Mar 08 2011","2455630","321235201","1641.09","6.08e-7","2.70e-8","-2.28","-","148.02","1e-8","0","bin32.log"
"Apr 07 2011","2455659","323827201","349.5","2.30e-7","2.00e-8","-2.28","-","162.80","1e-8","0","bin33.log"
"May 07 2011","2455689","326419201","248.56","1.75e-7","1.70e-8","-2.28","-","142.35","1e-8","0","bin34.log"
"Jun 06 2011","2455719","329011201","819.34","3.49e-7","2.10e-8","-2.28","-","112.53","1e-8","0","bin35.log"
"Jul 06 2011","2455749","331603201","178.51","1.33e-7","1.50e-8","-2.28","-","81.44","1e-8","0","bin36.log"
"Aug 05 2011","2455779","334195201","553.73","2.85e-7","2.00e-8","-2.28","-","51.65","1e-8","0","bin37.log"
"Sep 04 2011","2455808","336787201","88.63","7.14e-8","1.19e-8","-2.28","-","27.38","1e-8","0","bin38.log"
"Oct 04 2011","2455839","339379201","145.17","1.33e-7","1.60e-8","-2.28","-","25.48","1e-8","0","bin39.log"
"Nov 03 2011","2455868","341971201","74.74","7.55e-8","1.26e-8","-2.28","-","45.59","1e-8","0","bin40.log"
"Dec 03 2011","2455899","344563201","122.69","9.38e-8","1.30e-8","-2.28","-","68.79","1e-8","0","bin41.log"
"Jan 02 2012","2455928","347155201","171.94","1.21e-7","1.40e-8","-2.28","-","92.34","1e-8","0","bin42.log"
"Feb 01 2012","2455958","349747201","49.67","5.43e-8","1.14e-8","-2.28","-","117.43","1e-8","0","bin43.log"
"Mar 02 2012","2455989","352339201","256.97","1.74e-7","1.70e-8","-2.28","-","143.62","1e-8","0","bin44.log"
