"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","0.2","< 4.57e-8","-","-","-","47.72","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","11.33","4.13e-8","2.07e-8","-2.28","-","41.48","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","10.64","4.40e-8","1.95e-8","-2.28","-","35.65","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","5.36","2.64e-8","1.63e-8","-2.28","-","30.43","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","0","< 3.44e-8","-","-","-","26.13","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","69.72","1.26e-7","2.40e-8","-2.28","-","23.19","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","35.61","8.81e-8","2.41e-8","-2.28","-","22.07","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","4.57","2.59e-8","1.80e-8","-2.28","-","22.96","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","16.15","7.43e-8","2.64e-8","-2.28","-","25.59","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","12.49","6.06e-8","2.43e-8","-2.28","-","29.42","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","3.88","< 7.09e-8","-","-","-","34.00","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","1.38","< 4.34e-8","-","-","-","39.00","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","0.7","< 3.07e-8","-","-","-","44.24","1e-8","0","bin13.log"
"Nov 07 2008","2454777","247752001","0.08","< 4.33e-8","-","-","-","49.60","1e-8","0","bin14.log"
"Nov 14 2008","2454784","248356801","4.05","2.23e-8","1.64e-8","-2.28","-","55.01","1e-8","0","bin15.log"
"Nov 21 2008","2454791","248961601","8.21","4.41e-8","2.16e-8","-2.28","-","60.44","1e-8","0","bin16.log"
"Nov 28 2008","2454798","249566401","11.55","7.41e-8","2.79e-8","-2.28","-","65.87","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","3.21","< 7.82e-8","-","-","-","71.29","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","6.88","3.92e-8","1.94e-8","-2.28","-","76.73","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","3.39","< 6.43e-8","-","-","-","82.20","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","0.42","< 3.85e-8","-","-","-","87.73","1e-8","0","bin21.log"
"Jan 02 2009","2454833","252590401","1.08","< 5.00e-8","-","-","-","93.33","1e-8","0","bin22.log"
"Jan 09 2009","2454840","253195201","3.71","< 7.99e-8","-","-","-","99.03","1e-8","0","bin23.log"
"Jan 16 2009","2454847","253800001","5.26","2.76e-8","1.80e-8","-2.28","-","104.84","1e-8","0","bin24.log"
"Jan 23 2009","2454854","254404801","0","< 2.31e-8","-","-","-","110.75","1e-8","0","bin25.log"
"Jan 30 2009","2454861","255009601","2.09","< 4.91e-8","-","-","-","116.76","1e-8","0","bin26.log"
"Feb 06 2009","2454868","255614401","3.84","< 6.63e-8","-","-","-","122.85","1e-8","0","bin27.log"
"Feb 13 2009","2454875","256219201","21.12","6.55e-8","2.14e-8","-2.28","-","128.99","1e-8","0","bin28.log"
"Feb 20 2009","2454882","256824001","38.89","8.36e-8","2.09e-8","-2.28","-","135.14","1e-8","0","bin29.log"
"Feb 27 2009","2454889","257428801","6.92","4.83e-8","2.28e-8","-2.28","-","141.23","1e-8","0","bin30.log"
"Mar 06 2009","2454898","258033601","11.44","5.10e-8","2.27e-8","-2.28","-","147.18","1e-8","0","bin31.log"
"Mar 13 2009","2454905","258638401","0.11","< 6.18e-8","-","-","-","152.80","1e-8","0","bin32.log"
"Mar 20 2009","2454912","259243201","28.49","8.78e-8","2.59e-8","-2.28","-","157.78","1e-8","0","bin33.log"
"Mar 27 2009","2454919","259848001","13.37","3.66e-8","1.69e-8","-2.28","-","161.49","1e-8","0","bin34.log"
"Apr 03 2009","2454926","260452801","5.02","2.77e-8","1.66e-8","-2.28","-","163.01","1e-8","0","bin35.log"
"Apr 10 2009","2454933","261057601","2.07","< 5.49e-8","-","-","-","161.71","1e-8","0","bin36.log"
"Apr 17 2009","2454940","261662401","218.03","2.79e-7","3.30e-8","-2.28","-","158.04","1e-8","0","bin37.log"
"Apr 24 2009","2454947","262267201","65.22","1.32e-7","2.80e-8","-2.28","-","152.90","1e-8","0","bin38.log"
"May 01 2009","2454954","262872001","35.49","1.10e-7","3.00e-8","-2.28","-","146.93","1e-8","0","bin39.log"
"May 08 2009","2454961","263476801","15.18","7.05e-8","2.78e-8","-2.28","-","140.49","1e-8","0","bin40.log"
"May 15 2009","2454968","264081601","25.78","9.64e-8","2.72e-8","-2.28","-","133.75","1e-8","0","bin41.log"
"May 22 2009","2454975","264686401","126.43","2.14e-7","3.00e-8","-2.28","-","126.81","1e-8","0","bin42.log"
"May 29 2009","2454982","265291201","58.07","1.03e-7","2.19e-8","-2.28","-","119.72","1e-8","0","bin43.log"
"Jun 05 2009","2454988","265896001","44.62","1.00e-7","2.33e-8","-2.28","-","112.55","1e-8","0","bin44.log"
"Jun 12 2009","2454995","266500801","48.74","1.27e-7","2.74e-8","-2.28","-","105.31","1e-8","0","bin45.log"
"Jun 19 2009","2455002","267105601","93.28","1.69e-7","3.10e-8","-2.28","-","98.03","1e-8","0","bin46.log"
"Jun 26 2009","2455009","267710401","48.17","1.48e-7","3.40e-8","-2.28","-","90.76","1e-8","0","bin47.log"
"Jul 03 2009","2455017","268315201","72.42","1.96e-7","3.60e-8","-2.28","-","83.52","1e-8","0","bin48.log"
"Jul 10 2009","2455024","268920001","86.77","1.61e-7","2.90e-8","-2.28","-","76.33","1e-8","0","bin49.log"
"Jul 17 2009","2455031","269524801","51.82","1.01e-7","2.43e-8","-2.28","-","69.24","1e-8","0","bin50.log"
"Jul 24 2009","2455038","270129601","172.89","2.66e-7","3.40e-8","-2.28","-","62.27","1e-8","0","bin51.log"
"Jul 31 2009","2455045","270734401","34.27","9.92e-8","2.51e-8","-2.28","-","55.46","1e-8","0","bin52.log"
"Aug 07 2009","2455051","271339201","85.63","1.70e-7","3.10e-8","-2.28","-","48.87","1e-8","0","bin53.log"
"Aug 14 2009","2455058","271944001","76.16","1.82e-7","3.50e-8","-2.28","-","42.56","1e-8","0","bin54.log"
"Aug 21 2009","2455065","272548801","38.56","1.16e-7","3.12e-8","-2.28","-","36.64","1e-8","0","bin55.log"
"Aug 28 2009","2455072","273153601","49.9","1.31e-7","3.00e-8","-2.28","-","31.30","1e-8","0","bin56.log"
"Sep 04 2009","2455079","273758401","34.54","1.20e-7","3.16e-8","-2.28","-","26.81","1e-8","0","bin57.log"
"Sep 11 2009","2455086","274363201","29.97","1.60e-7","3.90e-8","-2.28","-","23.59","1e-8","0","bin58.log"
"Sep 18 2009","2455093","274968001","66.86","2.11e-7","3.90e-8","-2.28","-","22.12","1e-8","0","bin59.log"
"Sep 25 2009","2455100","275572801","500.9","8.13e-7","6.60e-8","-2.28","-","22.66","1e-8","0","bin60.log"
"Oct 02 2009","2455107","276177601","3533.89","2.68e-6","1.00e-7","-2.28","-","25.02","1e-8","0","bin61.log"
"Oct 09 2009","2455114","276782401","567.8","7.11e-7","5.60e-8","-2.28","-","28.68","1e-8","0","bin62.log"
"Oct 16 2009","2455121","277387201","122.6","2.32e-7","3.60e-8","-2.28","-","33.15","1e-8","0","bin63.log"
"Oct 23 2009","2455128","277992001","121.77","2.80e-7","4.10e-8","-2.28","-","38.09","1e-8","0","bin64.log"
"Oct 30 2009","2455135","278596801","54.51","1.68e-7","3.60e-8","-2.28","-","43.30","1e-8","0","bin65.log"
"Nov 06 2009","2455142","279201601","151.52","3.33e-7","4.50e-8","-2.28","-","48.64","1e-8","0","bin66.log"
"Nov 13 2009","2455149","279806401","419.92","6.73e-7","5.80e-8","-2.28","-","54.05","1e-8","0","bin67.log"
"Nov 20 2009","2455156","280411201","212.23","3.82e-7","4.60e-8","-2.28","-","59.48","1e-8","0","bin68.log"
"Nov 27 2009","2455163","281016001","619","7.50e-7","5.70e-8","-2.28","-","64.90","1e-8","0","bin69.log"
"Dec 04 2009","2455170","281620801","449.95","5.45e-7","4.90e-8","-2.28","-","70.33","1e-8","0","bin70.log"
"Dec 11 2009","2455177","282225601","1188.45","1.13e-6","7.00e-8","-2.28","-","75.76","1e-8","0","bin71.log"
"Dec 18 2009","2455184","282830401","1091.07","1.26e-6","7.00e-8","-2.28","-","81.23","1e-8","0","bin72.log"
"Dec 25 2009","2455191","283435201","302.18","5.38e-7","5.40e-8","-2.28","-","86.74","1e-8","0","bin73.log"
"Jan 01 2010","2455197","284040001","821.94","9.84e-7","6.60e-8","-2.28","-","92.33","1e-8","0","bin74.log"
"Jan 08 2010","2455204","284644801","254.33","5.24e-7","5.50e-8","-2.28","-","98.01","1e-8","0","bin75.log"
"Jan 15 2010","2455211","285249601","237.47","4.16e-7","4.80e-8","-2.28","-","103.80","1e-8","0","bin76.log"
"Jan 22 2010","2455218","285854401","244.15","3.86e-7","4.40e-8","-2.28","-","109.69","1e-8","0","bin77.log"
"Jan 29 2010","2455225","286459201","199.72","3.12e-7","4.00e-8","-2.28","-","115.68","1e-8","0","bin78.log"
