"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454699","240883201","1068.5","3.47e-7","1.90e-8","-2.2","-","47.81","1e-8","0","bin1.log"
"Sep 19 2008","2454729","243475201","503.52","2.42e-7","1.80e-8","-2.2","-","18.73","1e-8","0","bin2.log"
"Oct 19 2008","2454759","246067201","830.44","3.14e-7","1.90e-8","-2.2","-","10.82","1e-8","0","bin3.log"
"Nov 18 2008","2454788","248659201","4571.83","1.03e-6","3.00e-8","-2.2","-","41.06","1e-8","0","bin4.log"
"Dec 18 2008","2454819","251251201","5989.14","1.09e-6","3.00e-8","-2.2","-","72.26","1e-8","0","bin5.log"
"Jan 17 2009","2454847","253843201","3195.2","8.03e-7","2.70e-8","-2.2","-","104.06","1e-8","0","bin6.log"
"Feb 16 2009","2454877","256435201","6927.09","1.20e-6","3.00e-8","-2.2","-","135.15","1e-8","0","bin7.log"
"Mar 18 2009","2454909","259027201","1070.3","3.99e-7","2.20e-8","-2.2","-","163.01","1e-8","0","bin8.log"
"Apr 17 2009","2454939","261619201","647.16","2.51e-7","1.70e-8","-2.2","-","161.12","1e-8","0","bin9.log"
"May 17 2009","2454969","264211201","553.77","2.50e-7","1.80e-8","-2.2","-","135.52","1e-8","0","bin10.log"
"Jun 16 2009","2454998","266803201","739.5","3.05e-7","1.90e-8","-2.2","-","108.78","1e-8","0","bin11.log"
"Jul 16 2009","2455029","269395201","3082.24","7.51e-7","2.60e-8","-2.2","-","81.24","1e-8","0","bin12.log"
"Aug 15 2009","2455058","271987201","3177.29","8.79e-7","3.00e-8","-2.2","-","52.84","1e-8","0","bin13.log"
"Sep 14 2009","2455088","274579201","2225.2","6.79e-7","2.70e-8","-2.2","-","23.84","1e-8","0","bin14.log"
"Oct 14 2009","2455118","277171201","1088.4","6.19e-7","3.30e-8","-2.2","-","5.62","1e-8","0","bin15.log"
"Nov 13 2009","2455148","279763201","792.86","3.65e-7","2.20e-8","-2.2","-","35.71","1e-8","0","bin16.log"
"Dec 13 2009","2455178","282355201","792.98","4.46e-7","2.70e-8","-2.2","-","66.74","1e-8","0","bin17.log"
"Jan 12 2010","2455207","284947201","404.93","2.52e-7","2.10e-8","-2.2","-","98.51","1e-8","0","bin18.log"
"Feb 11 2010","2455237","287539201","479.18","2.82e-7","2.20e-8","-2.2","-","129.84","1e-8","0","bin19.log"
"Mar 13 2010","2455269","290131201","412.75","2.85e-7","2.30e-8","-2.2","-","158.72","1e-8","0","bin20.log"
"Apr 12 2010","2455299","292723201","245.98","1.87e-7","1.80e-8","-2.2","-","164.93","1e-8","0","bin21.log"
"May 12 2010","2455329","295315201","113.46","1.03e-7","1.47e-8","-2.2","-","140.13","1e-8","0","bin22.log"
"Jun 11 2010","2455359","297907201","157.36","1.13e-7","1.39e-8","-2.2","-","113.50","1e-8","0","bin23.log"
"Jul 11 2010","2455389","300499201","162.74","1.26e-7","1.60e-8","-2.2","-","86.12","1e-8","0","bin24.log"
"Aug 10 2010","2455419","303091201","170.04","1.30e-7","1.60e-8","-2.2","-","57.85","1e-8","0","bin25.log"
"Sep 09 2010","2455448","305683201","1182.14","4.98e-7","2.60e-8","-2.2","-","28.94","1e-8","0","bin26.log"
