"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","0.63","< 5.83e-8","-","-","-","94.52","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","0.7","< 6.13e-8","-","-","-","88.50","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","2.83","< 6.22e-8","-","-","-","82.32","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","0","< 3.99e-8","-","-","-","76.00","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","7.99","4.60e-8","2.23e-8","-2.1","-","69.58","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","0.3","< 5.78e-8","-","-","-","63.10","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","0.44","< 5.89e-8","-","-","-","56.59","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","1.18","< 6.19e-8","-","-","-","50.09","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","2.96","< 7.05e-8","-","-","-","43.66","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","8.12","3.57e-8","1.92e-8","-2.1","-","37.40","1e-8","0","bin10.log"
"Oct 24 2008","2454764","246542401","0","< 3.92e-8","-","-","-","26.24","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","0.07","< 4.54e-8","-","-","-","22.27","1e-8","0","bin13.log"
"Nov 07 2008","2454777","247752001","0","< 3.99e-8","-","-","-","20.45","1e-8","0","bin14.log"
"Nov 14 2008","2454784","248356801","0","< 5.65e-8","-","-","-","21.45","1e-8","0","bin15.log"
"Nov 21 2008","2454791","248961601","6.49","5.02e-8","2.72e-8","-2.1","-","25.05","1e-8","0","bin16.log"
"Nov 28 2008","2454798","249566401","4.12","3.04e-8","2.52e-8","-2.1","-","30.38","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","0","< 3.94e-8","-","-","-","36.74","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","2.75","< 7.31e-8","-","-","-","43.68","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","9.51","5.33e-8","2.38e-8","-2.1","-","50.92","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","3.65","< 6.68e-8","-","-","-","58.29","1e-8","0","bin21.log"
"Jan 02 2009","2454833","252590401","0","< 4.23e-8","-","-","-","65.66","1e-8","0","bin22.log"
"Jan 09 2009","2454840","253195201","4.41","2.34e-8","1.92e-8","-2.1","-","72.94","1e-8","0","bin23.log"
"Jan 16 2009","2454847","253800001","1.03","< 6.52e-8","-","-","-","80.02","1e-8","0","bin24.log"
"Jan 23 2009","2454854","254404801","2.23","< 6.70e-8","-","-","-","86.85","1e-8","0","bin25.log"
"Jan 30 2009","2454861","255009601","-0.01","< 2.59e-8","-","-","-","93.36","1e-8","0","bin26.log"
"Feb 06 2009","2454868","255614401","0.14","< 4.32e-8","-","-","-","99.48","1e-8","0","bin27.log"
"Feb 13 2009","2454875","256219201","6.1","3.62e-8","2.07e-8","-2.1","-","105.19","1e-8","0","bin28.log"
"Feb 20 2009","2454882","256824001","1.26","< 6.60e-8","-","-","-","110.44","1e-8","0","bin29.log"
"Feb 27 2009","2454889","257428801","0.9","< 5.82e-8","-","-","-","115.20","1e-8","0","bin30.log"
"Mar 06 2009","2454898","258033601","0","< 4.17e-8","-","-","-","119.44","1e-8","0","bin31.log"
"Mar 13 2009","2454905","258638401","5.14","3.17e-8","2.59e-8","-2.1","-","123.16","1e-8","0","bin32.log"
"Mar 20 2009","2454912","259243201","0.21","< 5.91e-8","-","-","-","126.35","1e-8","0","bin33.log"
"Mar 27 2009","2454919","259848001","0.32","< 6.09e-8","-","-","-","129.02","1e-8","0","bin34.log"
"Apr 03 2009","2454926","260452801","12.68","4.67e-8","1.99e-8","-2.1","-","131.18","1e-8","0","bin35.log"
"Apr 10 2009","2454933","261057601","2.54","< 5.48e-8","-","-","-","132.88","1e-8","0","bin36.log"
"Apr 17 2009","2454940","261662401","2.03","< 8.14e-8","-","-","-","134.14","1e-8","0","bin37.log"
"Apr 24 2009","2454947","262267201","1.6","< 7.09e-8","-","-","-","135.00","1e-8","0","bin38.log"
"May 01 2009","2454954","262872001","19.64","6.70e-8","2.77e-8","-2.1","-","135.50","1e-8","0","bin39.log"
"May 08 2009","2454961","263476801","20.48","1.08e-7","3.42e-8","-2.1","-","135.65","1e-8","0","bin40.log"
"May 15 2009","2454968","264081601","20.76","7.60e-8","2.67e-8","-2.1","-","135.43","1e-8","0","bin41.log"
"May 22 2009","2454975","264686401","14.64","6.74e-8","2.44e-8","-2.1","-","134.84","1e-8","0","bin42.log"
"May 29 2009","2454982","265291201","15.19","7.85e-8","2.84e-8","-2.1","-","133.82","1e-8","0","bin43.log"
"Jun 05 2009","2454988","265896001","7.02","5.50e-8","2.57e-8","-2.1","-","132.32","1e-8","0","bin44.log"
"Jun 12 2009","2454995","266500801","8.21","5.69e-8","2.61e-8","-2.1","-","130.30","1e-8","0","bin45.log"
"Jun 19 2009","2455002","267105601","113.04","2.48e-7","4.10e-8","-2.1","-","127.72","1e-8","0","bin46.log"
"Jun 26 2009","2455009","267710401","229.65","3.98e-7","4.90e-8","-2.1","-","124.56","1e-8","0","bin47.log"
"Jul 03 2009","2455017","268315201","200.02","3.57e-7","4.40e-8","-2.1","-","120.84","1e-8","0","bin48.log"
"Jul 10 2009","2455024","268920001","587.4","6.20e-7","5.00e-8","-2.1","-","116.60","1e-8","0","bin49.log"
"Jul 17 2009","2455031","269524801","282.99","3.84e-7","4.00e-8","-2.1","-","111.89","1e-8","0","bin50.log"
"Jul 24 2009","2455038","270129601","61.28","1.40e-7","2.90e-8","-2.1","-","106.77","1e-8","0","bin51.log"
"Jul 31 2009","2455045","270734401","28","9.24e-8","2.55e-8","-2.1","-","101.31","1e-8","0","bin52.log"
"Aug 07 2009","2455051","271339201","39.63","1.33e-7","3.33e-8","-2.1","-","95.56","1e-8","0","bin53.log"
"Aug 14 2009","2455058","271944001","19.91","9.67e-8","3.22e-8","-2.1","-","89.58","1e-8","0","bin54.log"
"Aug 21 2009","2455065","272548801","7.67","5.97e-8","2.92e-8","-2.1","-","83.43","1e-8","0","bin55.log"
"Aug 28 2009","2455072","273153601","40.82","1.23e-7","3.15e-8","-2.1","-","77.13","1e-8","0","bin56.log"
"Sep 04 2009","2455079","273758401","28.51","1.10e-7","2.89e-8","-2.1","-","70.73","1e-8","0","bin57.log"
"Sep 11 2009","2455086","274363201","165.87","2.46e-7","3.30e-8","-2.1","-","64.25","1e-8","0","bin58.log"
"Sep 18 2009","2455093","274968001","27.13","9.00e-8","2.53e-8","-2.1","-","57.74","1e-8","0","bin59.log"
"Sep 25 2009","2455100","275572801","50.04","1.76e-7","4.00e-8","-2.1","-","51.24","1e-8","0","bin60.log"
"Oct 02 2009","2455107","276177601","6.1","6.63e-8","3.67e-8","-2.1","-","44.79","1e-8","0","bin61.log"
"Oct 09 2009","2455114","276782401","54.99","1.94e-7","4.40e-8","-2.1","-","38.49","1e-8","0","bin62.log"
"Oct 16 2009","2455121","277387201","47.67","1.45e-7","3.50e-8","-2.1","-","32.50","1e-8","0","bin63.log"
"Oct 23 2009","2455128","277992001","77.78","1.58e-7","3.10e-8","-2.1","-","27.10","1e-8","0","bin64.log"
"Oct 30 2009","2455135","278596801","129.89","1.84e-7","2.80e-8","-2.1","-","22.85","1e-8","0","bin65.log"
"Nov 06 2009","2455142","279201601","32.93","8.77e-8","2.39e-8","-2.1","-","20.57","1e-8","0","bin66.log"
"Nov 13 2009","2455149","279806401","54.3","1.50e-7","3.10e-8","-2.1","-","21.07","1e-8","0","bin67.log"
"Nov 20 2009","2455156","280411201","92.9","2.28e-7","4.00e-8","-2.1","-","24.26","1e-8","0","bin68.log"
"Nov 27 2009","2455163","281016001","3.67","< 1.17e-7","-","-","-","29.35","1e-8","0","bin69.log"
"Dec 04 2009","2455170","281620801","21.09","1.01e-7","3.43e-8","-2.1","-","35.56","1e-8","0","bin70.log"
"Dec 11 2009","2455177","282225601","68.97","2.10e-7","4.10e-8","-2.1","-","42.42","1e-8","0","bin71.log"
"Dec 18 2009","2455184","282830401","159.52","2.33e-7","3.40e-8","-2.1","-","49.62","1e-8","0","bin72.log"
"Dec 25 2009","2455191","283435201","214.14","2.98e-7","3.40e-8","-2.1","-","56.98","1e-8","0","bin73.log"
"Jan 01 2010","2455197","284040001","192.73","2.95e-7","3.50e-8","-2.1","-","64.36","1e-8","0","bin74.log"
"Jan 08 2010","2455204","284644801","33.8","1.22e-7","3.22e-8","-2.1","-","71.66","1e-8","0","bin75.log"
"Jan 15 2010","2455211","285249601","83.91","2.98e-7","5.30e-8","-2.1","-","78.78","1e-8","0","bin76.log"
"Jan 22 2010","2455218","285854401","110.36","3.57e-7","5.70e-8","-2.1","-","85.66","1e-8","0","bin77.log"
"Jan 29 2010","2455225","286459201","26.72","1.51e-7","4.20e-8","-2.1","-","92.23","1e-8","0","bin78.log"
"Feb 05 2010","2455232","287064001","128.67","2.81e-7","4.20e-8","-2.1","-","98.43","1e-8","0","bin79.log"
"Feb 12 2010","2455239","287668801","259.52","3.40e-7","3.70e-8","-2.1","-","104.21","1e-8","0","bin80.log"
"Feb 19 2010","2455246","288273601","158.07","2.08e-7","2.90e-8","-2.1","-","109.54","1e-8","0","bin81.log"
"Feb 26 2010","2455253","288878401","79.94","1.87e-7","3.20e-8","-2.1","-","114.39","1e-8","0","bin82.log"
"Mar 05 2010","2455262","289483201","128.54","2.61e-7","4.00e-8","-2.1","-","118.73","1e-8","0","bin83.log"
"Mar 12 2010","2455269","290088001","65.62","1.96e-7","4.30e-8","-2.1","-","122.54","1e-8","0","bin84.log"
"Mar 19 2010","2455276","290692801","92.26","3.07e-7","5.30e-8","-2.1","-","125.82","1e-8","0","bin85.log"
"Mar 26 2010","2455283","291297601","72.57","2.40e-7","4.40e-8","-2.1","-","128.58","1e-8","0","bin86.log"
"Apr 02 2010","2455290","291902401","115.41","2.20e-7","3.40e-8","-2.1","-","130.83","1e-8","0","bin87.log"
"Apr 09 2010","2455297","292507201","79.77","1.99e-7","3.60e-8","-2.1","-","132.61","1e-8","0","bin88.log"
